Timestamp,AERL
2012-01-01T00:00:00-08:00 Los_Angeles,""
2012-01-02T00:00:00-08:00 Los_Angeles,""
2012-01-03T00:00:00-08:00 Los_Angeles,""
2012-01-04T00:00:00-08:00 Los_Angeles,""
2012-01-05T00:00:00-08:00 Los_Angeles,""
2012-01-06T00:00:00-08:00 Los_Angeles,""
2012-01-07T00:00:00-08:00 Los_Angeles,""
2012-01-08T00:00:00-08:00 Los_Angeles,""
2012-01-09T00:00:00-08:00 Los_Angeles,""
2012-01-10T00:00:00-08:00 Los_Angeles,""
2012-01-11T00:00:00-08:00 Los_Angeles,""
2012-01-12T00:00:00-08:00 Los_Angeles,""
2012-01-13T00:00:00-08:00 Los_Angeles,""
2012-01-14T00:00:00-08:00 Los_Angeles,""
2012-01-15T00:00:00-08:00 Los_Angeles,""
2012-01-16T00:00:00-08:00 Los_Angeles,""
2012-01-17T00:00:00-08:00 Los_Angeles,""
2012-01-18T00:00:00-08:00 Los_Angeles,""
2012-01-19T00:00:00-08:00 Los_Angeles,""
2012-01-20T00:00:00-08:00 Los_Angeles,""
2012-01-21T00:00:00-08:00 Los_Angeles,""
2012-01-22T00:00:00-08:00 Los_Angeles,""
2012-01-23T00:00:00-08:00 Los_Angeles,""
2012-01-24T00:00:00-08:00 Los_Angeles,""
2012-01-25T00:00:00-08:00 Los_Angeles,""
2012-01-26T00:00:00-08:00 Los_Angeles,""
2012-01-27T00:00:00-08:00 Los_Angeles,""
2012-01-28T00:00:00-08:00 Los_Angeles,""
2012-01-29T00:00:00-08:00 Los_Angeles,""
2012-01-30T00:00:00-08:00 Los_Angeles,""
2012-01-31T00:00:00-08:00 Los_Angeles,""
2012-02-01T00:00:00-08:00 Los_Angeles,""
2012-02-02T00:00:00-08:00 Los_Angeles,""
2012-02-03T00:00:00-08:00 Los_Angeles,""
2012-02-04T00:00:00-08:00 Los_Angeles,""
2012-02-05T00:00:00-08:00 Los_Angeles,""
2012-02-06T00:00:00-08:00 Los_Angeles,""
2012-02-07T00:00:00-08:00 Los_Angeles,""
2012-02-08T00:00:00-08:00 Los_Angeles,""
2012-02-09T00:00:00-08:00 Los_Angeles,""
2012-02-10T00:00:00-08:00 Los_Angeles,""
2012-02-11T00:00:00-08:00 Los_Angeles,""
2012-02-12T00:00:00-08:00 Los_Angeles,""
